Completed Date;Reference;Paid Out (CHF);Paid In (CHF);Exchange Out;Exchange In; Balance (CHF);Category
2018 October 30;Boucherie-espace Molar;16.50;;;; 37.85;groceries
2018 October 30;Brezelk nig Ag;2.00;;;; 54.35;groceries
2018 October 30;Facebk Minstoradag;10.00;;;; 56.35;services
2018 October 29;Migros Fm Nyon;258.95;;;; 66.35;shopping
2018 October 29;Migros;218.30;;;; 325.30;groceries
2018 October 29;Migros Mr Porte De Nyo;10.15;;;; 543.60;restaurants
2018 October 29;Sumup arctic Juice;33.00;;;; 553.75;restaurants
2018 October 29;Eni Martigny, Combe;121.36;;;; 586.75;transport
2018 October 29;Migros;68.55;;;; 708.11;groceries
2018 October 29;Brasserie Le Bec;45.00;;;; 776.66;restaurants
2018 October 29;Hotair;33.30;;;; 821.66;shopping
2018 October 26;Restaurant Le Borsalin;56.50;;;; 854.96;restaurants
2018 October 23;Premium plan fee;8.99;;;; 911.46;general
2018 October 16;Nextory Ab;15.48;;SEK 139.00;; 920.45;general
2018 October 15;Stravacom;4.00;;;; 935.93;entertainment
2018 October 15;Tunnel Du Grand-st-ber;31.20;;;; 939.93;transport
2018 October 15;Restaurant Vieux Verbier;66.50;;;; 971.13;restaurants
2018 October 15;Www.smartphoto.ch;23.85;;;; 1'037.63;shopping
2018 October 15;Coop Supermarché Verbier;65.10;;;; 1'061.48;groceries
2018 October 15;Coop Supermarché Verbier;47.45;;;; 1'126.58;groceries
2018 October 15;Parking du Mont-Blanc;27.00;;;; 1'174.03;services
2018 October 15;Restaurant La Marmotte;170.15;;;; 1'201.03;restaurants
2018 October 15;Globus Gastro Gen ve;23.50;;;; 1'371.18;groceries
2018 October 12;Pharmacie Nyonnaise;17.85;;;; 1'394.68;health
2018 October 12;Restaurant Wasabi;19.60;;;; 1'412.53;restaurants
2018 October 11;Vino Olio Caffe;50.00;;;; 1'432.13;restaurants
2018 October 11;Ochsner Sport;4.80;;;; 1'482.13;shopping
2018 October 10;Brezelk nig Ag;3.50;;;; 1'486.93;groceries
2018 October 10;Coop Online-shop;21.40;;;; 1'490.43;groceries
2018 October 10;Restaurant Luigia Nyon;85.00;;;; 1'511.83;restaurants
2018 October 10;Starbucks;7.80;;;; 1'596.83;restaurants
2018 October 10;Globus Gastro Gen ve;18.00;;;; 1'604.63;groceries
2018 October 10;Diesel Gen?ve Touzeau;299.00;;;; 1'622.63;shopping
2018 October 10;Parking Clinique Beaul;1.00;;;; 1'921.63;transport
2018 October 9;Sumup  *pb Pain Et Bri;18.00;;;; 1'922.63;restaurants
2018 October 9;Bosphore-resto;31.70;;;; 1'940.63;restaurants
2018 October 9;Elsalad S?rl;22.00;;;; 1'972.33;restaurants
2018 October 8;Quincaillerie L. Micha;48.50;;;; 1'994.33;shopping
2018 October 8;Patisserie-confiserie;14.60;;;; 2'042.83;groceries
2018 October 8;Brasserie Le Bec;12.00;;;; 2'057.43;restaurants
2018 October 8;Brasserie Le Bec;102.00;;;; 2'069.43;restaurants
2018 October 8;Restaurant La Marmotte;115.30;;;; 2'171.43;restaurants
2018 October 8;Klm07424179602064;122.05;;;; 2'286.73;travel
2018 October 8;Klm07424179602053;149.05;;;; 2'408.78;travel
2018 October 8;Klm07424179602042;149.05;;;; 2'557.83;travel
2018 October 8;Globus Gastro Gen ve;7.50;;;; 2'706.88;groceries
2018 October 5;Migros;6.30;;;; 2'714.38;groceries
2018 October 5;Migros;3.90;;;; 2'720.68;groceries
2018 October 5;Parking du Mont-Blanc;17.00;;;; 2'724.58;services
2018 October 5;Rstudio, Inc.;8.93;;USD 9.00;; 2'741.58;services
2018 October 4;Coop Online-shop;171.80;;;; 2'750.51;groceries
2018 October 3;Globus Gastro Gen ve;20.00;;;; 2'922.31;groceries
2018 October 3;Migros;0.65;;;; 2'942.31;groceries
2018 October 3;Restaurant Luigia Nyon;126.30;;;; 2'942.96;restaurants
2018 October 3;Uber B.V.;11.54;;;; 3'069.26;transport
2018 October 2;Le Pr?t-?-manger Corna;5.20;;;; 3'080.80;restaurants
2018 October 2;Migros;26.30;;;; 3'086.00;groceries
2018 October 2;Boucherie-espace Molar;16.50;;;; 3'112.30;groceries
2018 October 2;Restaurant Wasabi;5.80;;;; 3'128.80;restaurants
2018 October 2;To Charlotte Tengelin;2'500.00;;;; 3'134.60;transfers
2018 October 2;Payment from Martin Alexander Tengelin Et/ou;; 5'000.00;;; 5'634.60;general
2018 September 28;Vino Concept - Le Cellier;14.40;;;; 634.60;restaurants
2018 September 28;Caf? Ex Machina S?rl;8.50;;;; 649.00;restaurants
2018 September 27;H&M;13.90;;;; 657.50;shopping
2018 September 27;H&M;167.60;;;; 671.40;shopping
2018 September 27;Pharm. Populaire Cit?;35.00;;;; 839.00;health
2018 September 26;Migros;6.70;;;; 874.00;groceries
2018 September 26;Restaurant Wasabi;12.80;;;; 880.70;restaurants
2018 September 25;Grand Cafe Real Sa;19.00;;;; 893.50;restaurants
2018 September 25;Le D?barcad?re;44.80;;;; 912.50;restaurants
2018 September 24;Www.farmy.ch;134.35;;;; 957.30;restaurants
2018 September 24;Uber B.V.;11.32;;;; 1'091.65;transport
2018 September 24;SBB Infrastruktur;4.50;;;; 1'102.97;transport
2018 September 24;Uber B.V.;10.36;;;; 1'107.47;transport
2018 September 24;Ochsner Sport;4.80;;;; 1'117.83;shopping
2018 September 24;Migros;4.55;;;; 1'122.63;groceries
2018 September 24;Globus Gastro Gen ve;25.50;;;; 1'127.18;groceries
2018 September 23;Premium plan fee;8.99;;;; 1'152.68;general
2018 September 21;Restaurant Mekong;23.00;;;; 1'161.67;restaurants
2018 September 21;Globus Gastro Gen ve;29.00;;;; 1'184.67;groceries
2018 September 21;Microsoft xbox;20.36;;GBP 15.99;; 1'213.67;entertainment
2018 September 19;Migros;47.95;;;; 1'234.03;groceries
2018 September 19;Restaurant Wasabi;12.80;;;; 1'281.98;restaurants
2018 September 18;Bosphore-resto;12.90;;;; 1'294.78;restaurants
2018 September 18;Boucherie-espace Molar;18.00;;;; 1'307.68;groceries
2018 September 18;Ochsner Sport;4.80;;;; 1'325.68;shopping
2018 September 18;Relay Le Chable Ga;14.20;;;; 1'330.48;groceries
2018 September 17;Brasserie du Molard;67.00;;;; 1'344.68;restaurants
2018 September 17;Au Coeur Des Saveurs;5.60;;;; 1'411.68;groceries
2018 September 17;Restaurant Le Dahu;164.60;;;; 1'417.28;restaurants
2018 September 17;Coop Supermarché Verbier;41.35;;;; 1'581.88;groceries
2018 September 17;Parking du Mont-Blanc;8.00;;;; 1'623.23;services
2018 September 17;Parking Clinique Beaul;2.00;;;; 1'631.23;transport
2018 September 17;Pharmacie-parf. Sunsto;15.50;;;; 1'633.23;health
2018 September 17;Stravacom;4.00;;;; 1'648.73;entertainment
2018 September 14;Grand Cafe Real Sa;83.50;;;; 1'652.73;restaurants
2018 September 14;Parking du Mont-Blanc;21.00;;;; 1'736.23;services
2018 September 14;Globus Gastro Gen ve;23.50;;;; 1'757.23;groceries
2018 September 13;To Charlotte Tengelin;10.00;;;; 1'780.73;transfers
2018 September 13;Coop Online-shop;211.10;;;; 1'790.73;groceries
2018 September 12;Easyjetevntdmr;16.90;;;; 2'001.83;travel
2018 September 12;Restaurant Luigia Nyon;80.50;;;; 2'018.73;restaurants
2018 September 12;Uber B.V.;10.14;;;; 2'099.23;transport
2018 September 11;Migros;6.30;;;; 2'109.37;groceries
2018 September 11;Globus Gastro Gen ve;18.00;;;; 2'115.67;groceries
2018 September 11;Easyjet;467.46;;GBP 368.00;; 2'133.67;general
2018 September 10;Migrol Steg-gampel;8.88;;;; 2'601.13;transport
2018 September 10;Restaurant Le Dahu;43.00;;;; 2'610.01;restaurants
2018 September 10;Coop Online-shop;173.05;;;; 2'653.01;groceries
2018 September 10;Eni Martigny, Combe;14.81;;;; 2'826.06;transport
2018 September 10;Coop Ts Susten;93.15;;;; 2'840.87;transport
2018 September 7;Sumup arctic Juice;10.00;;;; 2'934.02;restaurants
2018 September 7;Sumup arctic Juice;21.00;;;; 2'944.02;restaurants
2018 September 7;Coop Supermarché Verbier;58.10;;;; 2'965.02;groceries
2018 September 7;Restaurant Le Caveau;3.70;;;; 3'023.12;restaurants
2018 September 6;Restaurant Mekong;26.00;;;; 3'026.82;restaurants
2018 September 6;Restaurant Wasabi;6.80;;;; 3'052.82;restaurants
2018 September 6;Eni Lavaux Aval;14.80;;;; 3'059.62;transport
2018 September 5;Green Gorilla Café;19.90;;;; 3'074.42;restaurants
2018 September 5;Bio C Bon Nyon Corlot;4.65;;;; 3'094.32;shopping
2018 September 5;Pizza Leggera Nyon;31.00;;;; 3'098.97;restaurants
2018 September 5;Uber B.V.;12.00;;;; 3'129.97;transport
2018 September 5;Rstudio, Inc.;8.73;;USD 9.00;; 3'141.97;services
2018 September 4;To Charlotte Tengelin;2'500.00;;;; 3'150.70;transfers
2018 September 4;Payment from Martin Alexander Tengelin Et/ou;; 5'000.00;;; 5'650.70;general
2018 September 4;Globus Gastro Gen ve;23.50;;;; 650.70;groceries
2018 September 4;Le Pet. Bouchon De Pro;74.40;;;; 674.20;restaurants
2018 September 4;Nextory Ab;17.92;;SEK 169.00;; 748.60;general
2018 September 3;Easyjet000 Evnvjr2;115.52;;;; 766.52;travel
2018 September 3;Coop Online-shop;22.95;;;; 882.04;groceries
2018 September 3;Globus Gastro Gen ve;15.00;;;; 904.99;groceries
2018 August 31;Migros;13.60;;;; 919.99;groceries
2018 August 31;Boucherie-espace Molar;16.50;;;; 933.59;groceries
2018 August 29;Mc Donald's;10.30;;;; 950.09;restaurants
2018 August 29;Restaurant Mekong;25.00;;;; 960.39;restaurants
2018 August 29;From Matteo Vasirani;; 9.00;;; 985.39;transfers
2018 August 29;To Adrien De Castro;3.00;;;; 976.39;transfers
2018 August 29;Globus Gastro Gen ve;23.50;;;; 979.39;groceries
2018 August 29;Starbucks;7.80;;;; 1'002.89;restaurants
2018 August 28;Green Gorilla Café;19.90;;;; 1'010.69;restaurants
2018 August 28;Noville;31.70;;;; 1'030.59;restaurants
2018 August 28;Starbucks;7.80;;;; 1'062.29;restaurants
2018 August 27;2dinoworld;24.00;;;; 1'070.09;entertainment
2018 August 27;Mountain-air Software;88.00;;;; 1'094.09;shopping
2018 August 27;Hotair;18.00;;;; 1'182.09;shopping
2018 August 27;Restaurant Le Dahu;106.50;;;; 1'200.09;restaurants
2018 August 27;Restaurant La Marmotte;105.10;;;; 1'306.59;restaurants
2018 August 27;Leroy Merlin Thoiry;314.73;;EUR 275.40;; 1'411.69;utilities
2018 August 27;Baillod Sa;276.00;;;; 1'726.42;shopping
2018 August 27;Coop Supermarché Verbier;28.95;;;; 2'002.42;groceries
2018 August 27;Coop Supermarché Verbier;27.20;;;; 2'031.37;groceries
2018 August 27;Eni Lavaux Aval;3.60;;;; 2'058.57;transport
2018 August 27;Sephora 270;155.27;;EUR 135.95;; 2'062.17;health
2018 August 27;Globus Gastro Gen ve;23.50;;;; 2'217.44;groceries
2018 August 27;Coop Online-shop;130.45;;;; 2'240.94;groceries
2018 August 27;La Plage De Nyon;54.00;;;; 2'371.39;restaurants
2018 August 24;Pouly Sa 4566;7.00;;;; 2'425.39;groceries
2018 August 23;Pouly Sa 4566;7.00;;;; 2'432.39;groceries
2018 August 23;Coop Online-shop;149.35;;;; 2'439.39;groceries
2018 August 23;Premium plan fee;8.99;;;; 2'588.74;general
2018 August 22;From Vacation savings;; 134.43;;; 2'597.73;transfers
2018 August 22;To Vacation savings;1.00;;;; 2'463.30;transfers
2018 August 22;Mc Donald's;18.70;;;; 2'464.30;restaurants
2018 August 22;Green Gorilla Café;19.90;;;; 2'483.00;restaurants
2018 August 22;SBB Infrastruktur;4.50;;;; 2'502.90;transport
2018 August 22;Starbucks;14.30;;;; 2'507.40;restaurants
2018 August 21;Green Gorilla Café;19.90;;;; 2'521.70;restaurants
2018 August 21;Tpg Jonction;2.00;;;; 2'541.60;transport
2018 August 21;Migros;14.15;;;; 2'543.60;groceries
2018 August 21;Manor Ag - 315;7.80;;;; 2'557.75;restaurants
2018 August 21;Noville;27.80;;;; 2'565.55;restaurants
2018 August 21;W Verbier  Residences;136.80;;;; 2'593.35;travel
2018 August 21;To Vacation savings;0.10;;;; 2'730.15;transfers
2018 August 21;Coop Supermarché Verbier;124.70;;;; 2'730.25;groceries
2018 August 21;To Vacation savings;0.70;;;; 2'854.95;transfers
2018 August 21;Mc Donald's;4.30;;;; 2'855.65;restaurants
2018 August 21;Spar;16.50;;;; 2'859.95;groceries
2018 August 20;Icebreaker_eu;93.00;;;; 2'876.45;shopping
2018 August 20;To Vacation savings;0.58;;;; 2'969.45;transfers
2018 August 20;To Vacation savings;0.30;;;; 2'970.03;transfers
2018 August 20;To Vacation savings;0.20;;;; 2'970.33;transfers
2018 August 20;To Vacation savings;0.50;;;; 2'970.53;transfers
2018 August 20;To Vacation savings;1.00;;;; 2'971.03;transfers
2018 August 20;Coop Online-shop;151.75;;;; 2'972.03;groceries
2018 August 20;Stravacom;4.00;;;; 3'123.78;entertainment
2018 August 20;To Vacation savings;0.85;;;; 3'127.78;transfers
2018 August 19;To Vacation savings;0.20;;;; 3'128.63;transfers
2018 August 19;Pouly Sa 4515;3.90;;;; 3'128.83;groceries
2018 August 18;Coop Restaurant Genève Fusterie;76.20;;;; 3'132.73;groceries
2018 August 18;Starbucks;7.80;;;; 3'208.93;restaurants
2018 August 18;Acquario Genova;80.01;;EUR 70.00;; 3'216.73;entertainment
2018 August 18;Marina Porto Antico Pa;10.06;;EUR 8.80;; 3'296.74;transport
2018 August 18;Bar Bigo;38.86;;EUR 34.00;; 3'306.80;restaurants
2018 August 18;Pharmacie Des Combins;13.20;;;; 3'345.66;health
2018 August 18;To Vacation savings;0.30;;;; 3'358.86;transfers
2018 August 18;Autogrill 0017;12.81;;EUR 11.20;; 3'359.16;restaurants
2018 August 18;Bookshop Acquario;19.43;;EUR 17.00;; 3'371.97;shopping
2018 August 17;Migros;6.30;;;; 3'391.40;groceries
2018 August 17;Tamoil Roche;126.95;;;; 3'397.70;transport
2018 August 17;To Vacation savings;0.20;;;; 3'524.65;transfers
2018 August 16;To Vacation savings;0.70;;;; 3'524.85;transfers
2018 August 16;To Vacation savings;0.50;;;; 3'525.55;transfers
2018 August 15;To Vacation savings;1.00;;;; 3'526.05;transfers
2018 August 14;2513 Olearys;44.70;;SEK 400.00;; 3'527.05;restaurants
2018 August 14;Sol Melia Italia Srl;266.18;;EUR 232.89;; 3'571.75;travel
2018 August 14;To Vacation savings;0.10;;;; 3'837.93;transfers
2018 August 14;To Vacation savings;0.10;;;; 3'838.03;transfers
2018 August 14;To Charlotte Tengelin;2'500.00;;;; 3'838.13;transfers
2018 August 14;Payment from Martin Alexander Tengelin Et/ou;; 5'000.00;;; 6'338.13;general
2018 August 13;To Vacation savings;0.26;;;; 1'338.13;transfers
2018 August 13;From Charlotte Tengelin;; 350.00;;; 1'338.39;transfers
2018 August 13;To Vacation savings;0.80;;;; 988.39;transfers
2018 August 13;To Vacation savings;0.20;;;; 989.19;transfers
2018 August 13;Www.parconazionale5ter;8.55;;EUR 7.50;; 989.39;entertainment
2018 August 13;Hotel Mediterraneo;326.36;;EUR 286.00;; 997.94;travel
2018 August 13;Il Massimo Della Focac;17.03;;EUR 15.00;; 1'324.30;restaurants
2018 August 13;Deca Ristorante;62.51;;EUR 55.00;; 1'341.33;restaurants
2018 August 13;Roma Termini;15.90;;EUR 14.00;; 1'403.84;transport
2018 August 13;Excelsior Palace Hotel;115.22;;EUR 100.00;; 1'419.74;travel
2018 August 13;Rêve Café Restaurant;95.07;;EUR 83.00;; 1'534.96;restaurants
2018 August 12;To Vacation savings;0.05;;;; 1'630.03;transfers
2018 August 12;To Vacation savings;0.70;;;; 1'630.08;transfers
2018 August 12;To Vacation savings;0.80;;;; 1'630.78;transfers
2018 August 11;To Vacation savings;0.19;;;; 1'631.58;transfers
2018 August 11;To Vacation savings;0.94;;;; 1'631.77;transfers
2018 August 11;To Vacation savings;0.14;;;; 1'632.71;transfers
2018 August 11;To Vacation savings;0.57;;;; 1'632.85;transfers
2018 August 11;To Vacation savings;0.99;;;; 1'633.42;transfers
2018 August 11;To Vacation savings;0.82;;;; 1'634.41;transfers
2018 August 10;To Vacation savings;0.49;;;; 1'635.23;transfers
2018 August 10;To Vacation savings;0.97;;;; 1'635.72;transfers
2018 August 10;To Vacation savings;0.10;;;; 1'636.69;transfers
2018 August 10;To Vacation savings;0.45;;;; 1'636.79;transfers
2018 August 10;To Vacation savings;0.33;;;; 1'637.24;transfers
2018 August 10;To Vacation savings;0.64;;;; 1'637.57;transfers
2018 August 10;To Vacation savings;1.00;;;; 1'638.21;transfers
2018 August 10;Ristorante La Cantina;140.27;;EUR 121.50;; 1'639.21;restaurants
2018 August 10;Angolo 48;149.41;;EUR 129.50;; 1'779.48;restaurants
2018 August 9;To Vacation savings;0.93;;;; 1'928.89;transfers
2018 August 9;To Vacation savings;0.78;;;; 1'929.82;transfers
2018 August 9;Cash at Deutsche Bank;115.48;;EUR 100.00;; 1'930.60;cash
2018 August 9;Brasserie De Rive;43.50;;;; 2'046.08;restaurants
2018 August 8;To Vacation savings;0.59;;;; 2'089.58;transfers
2018 August 8;To Vacation savings;0.73;;;; 2'090.17;transfers
2018 August 8;Da Emilio Ristorante P;101.08;;EUR 87.50;; 2'090.90;restaurants
2018 August 8;Wh Smith;20.54;;SEK 183.90;; 2'191.98;restaurants
2018 August 8;Starbucks Arlanda Terminal 2;6.15;;SEK 55.00;; 2'212.52;restaurants
2018 August 8;Hotels.com150772167846;342.78;;;; 2'218.67;travel
2018 August 7;To Vacation savings;0.92;;;; 2'561.45;transfers
2018 August 7;eleven;10.28;;SEK 92.00;; 2'562.37;groceries
2018 August 7;The Cloud Networks Germany GmbH;11.06;;SEK 99.00;; 2'572.65;services
2018 August 7;To Vacation savings;0.22;;;; 2'583.71;transfers
2018 August 7;To Vacation savings;0.50;;;; 2'583.93;transfers
2018 August 7;Starbucks Arlanda Terminal 2;50.14;;SEK 449.00;; 2'584.43;restaurants
2018 August 6;Circle K Nordmaling;4.95;;SEK 44.00;; 2'634.57;transport
2018 August 6;To Vacation savings;0.46;;;; 2'639.52;transfers
2018 August 6;To Vacation savings;0.86;;;; 2'639.98;transfers
2018 August 6;To Vacation savings;0.85;;;; 2'640.84;transfers
2018 August 6;To Vacation savings;0.30;;;; 2'641.69;transfers
2018 August 6;To Vacation savings;0.72;;;; 2'641.99;transfers
2018 August 6;To Vacation savings;0.94;;;; 2'642.71;transfers
2018 August 6;Facebk *leonardodicapr;20.00;;;; 2'643.65;services
2018 August 6;Rstudio, Inc.;8.95;;USD 9.00;; 2'663.65;services
2018 August 6;Nextory Ab;18.96;;SEK 169.00;; 2'672.60;general
2018 August 5;To Vacation savings;0.05;;;; 2'691.56;transfers
2018 August 4;To Vacation savings;1.00;;;; 2'691.61;transfers
2018 August 4;To Charlotte Tengelin;2'500.00;;;; 2'692.61;transfers
2018 August 4;To Vacation savings;0.04;;;; 5'192.61;transfers
2018 August 3;To Vacation savings;0.05;;;; 5'192.65;transfers
2018 August 3;Payment from Martin Alexander Tengelin Et/ou;; 5'000.00;;; 5'192.70;general
2018 July 31;Payot Pertin (Sa);4.67;;EUR 4.00;; 192.70;groceries
2018 July 31;Les Caves Chamonix;128.39;;EUR 110.00;; 197.37;restaurants
2018 July 31;Coquoz Sports;90.92;;EUR 77.90;; 325.76;shopping
2018 July 30;Iz *alpine Coffee Limi;45.52;;EUR 39.00;; 416.68;restaurants
2018 July 30;Lh. Sg;38.88;;EUR 33.30;; 462.20;entertainment
2018 July 30;Decat Chamonix;185.57;;EUR 159.00;; 501.08;utilities
2018 July 30;Dragon D Or;28.02;;EUR 24.00;; 686.65;restaurants
2018 July 30;Globus Gastro Gen ve;17.00;;;; 714.67;groceries
2018 July 30;Denner Nyon-cc La Comb;42.80;;;; 731.67;groceries
2018 July 30;Migros;119.75;;;; 774.47;groceries
2018 July 30;Coop Restaurant Genève Fusterie;18.00;;;; 894.22;groceries
2018 July 29;To Vacation savings;0.12;;;; 912.22;transfers
2018 July 29;To Vacation savings;0.08;;;; 912.34;transfers
2018 July 29;To Vacation savings;0.43;;;; 912.42;transfers
2018 July 29;From Charlotte Tengelin;; 300.00;;; 912.85;transfers
2018 July 29;To Vacation savings;0.48;;;; 612.85;transfers
2018 July 28;To Vacation savings;0.98;;;; 613.33;transfers
2018 July 28;To Vacation savings;0.33;;;; 614.31;transfers
2018 July 28;To Vacation savings;0.04;;;; 614.64;transfers
2018 July 28;To Vacation savings;0.61;;;; 614.68;transfers
2018 July 27;To Vacation savings;0.20;;;; 615.29;transfers
2018 July 27;To Vacation savings;0.25;;;; 615.49;transfers
2018 July 27;Green Gorilla Café;19.90;;;; 615.74;restaurants
2018 July 27;To Vacation savings;1.00;;;; 635.64;transfers
2018 July 27;Restaurant Wasabi;14.10;;;; 636.64;restaurants
2018 July 27;To Vacation savings;1.00;;;; 650.74;transfers
2018 July 27;Brasserie De Rive;129.60;;;; 651.74;restaurants
2018 July 26;To Vacation savings;0.90;;;; 781.34;transfers
2018 July 26;To Vacation savings;0.10;;;; 782.24;transfers
2018 July 26;Migros Fm Nyon;124.40;;;; 782.34;shopping
2018 July 26;Www.hypershop.com;99.80;;USD 100.00;; 906.74;entertainment
2018 July 25;To Vacation savings;0.40;;;; 1'006.54;transfers
2018 July 25;To Vacation savings;0.60;;;; 1'006.94;transfers
2018 July 25;Globus Gastro Gen ve;23.50;;;; 1'007.54;groceries
2018 July 24;Exchanged to BTC;100.00;;BTC  0.01210466;; 1'031.04;general
2018 July 24;To Vacation savings;0.50;;;; 1'131.04;transfers
2018 July 24;To Charlotte Tengelin;1'000.00;;;; 1'131.54;transfers
2018 July 24;Payment from Martin Alexander Tengelin Et/ou;; 2'000.00;;; 2'131.54;general
2018 July 24;Migros;31.45;;;; 131.54;groceries
2018 July 23;To Vacation savings;0.55;;;; 162.99;transfers
2018 July 23;App smartiptv;6.43;;EUR 5.49;; 163.54;utilities
2018 July 23;L'ambroisie;19.50;;;; 169.97;groceries
2018 July 23;Coop Pronto Nyon;36.00;;;; 189.47;transport
2018 July 23;Cash at Credit Suisse AG;50.00;;;; 225.47;cash
2018 July 23;Ochsner Ag;39.90;;;; 275.47;shopping
2018 July 23;Ochsner Ag;78.60;;;; 315.37;shopping
2018 July 23;Green Gorilla;19.90;;;; 393.97;restaurants
2018 July 23;H&M;7.95;;;; 413.87;shopping
2018 July 23;Restaurant Wasabi;5.80;;;; 421.82;restaurants
2018 July 22;To Vacation savings;0.57;;;; 427.62;transfers
2018 July 22;To Vacation savings;1.00;;;; 428.19;transfers
2018 July 21;To Vacation savings;0.20;;;; 429.19;transfers
2018 July 21;To Vacation savings;0.10;;;; 429.39;transfers
2018 July 21;To Vacation savings;0.40;;;; 429.49;transfers
2018 July 21;To Vacation savings;0.50;;;; 429.89;transfers
2018 July 21;From Charlotte Tengelin;; 300.00;;; 430.39;transfers
2018 July 20;To Vacation savings;0.20;;;; 130.39;transfers
2018 July 20;To Vacation savings;0.05;;;; 130.59;transfers
2018 July 20;To Vacation savings;0.10;;;; 130.64;transfers
2018 July 20;Uber;12.01;;;; 130.74;transport
2018 July 19;To Vacation savings;0.99;;;; 142.75;transfers
2018 July 19;JustGiving;52.12;;GBP 40.00;; 143.74;services
2018 July 19;Caf? Ex Machina S?rl;18.00;;;; 195.86;restaurants
2018 July 19;Restaurant Wasabi;17.70;;;; 213.86;restaurants
2018 July 18;To Vacation savings;0.30;;;; 231.56;transfers
2018 July 18;To Vacation savings;0.88;;;; 231.86;transfers
2018 July 18;Green Gorilla;19.90;;;; 232.74;restaurants
2018 July 18;To Vacation savings;1.00;;;; 252.64;transfers
2018 July 18;Parking du Mont-Blanc;5.00;;;; 253.64;services
2018 July 17;To Vacation savings;0.10;;;; 258.64;transfers
2018 July 17;Carrefour;137.95;;EUR 117.08;; 258.74;groceries
2018 July 17;To Vacation savings;1.00;;;; 396.69;transfers
2018 July 17;Restaurant Le Lacustre - près du Pont du Mont-Blanc;85.00;;;; 397.69;restaurants
2018 July 17;Brasserie De Rive;150.00;;;; 482.69;restaurants
2018 July 16;Restaurant Mekong;23.00;;;; 632.69;restaurants
2018 July 16;Gelateria Leonardo;8.70;;;; 655.69;restaurants
2018 July 16;Gelateria Leonardo;28.40;;;; 664.39;restaurants
2018 July 16;To Vacation savings;1.00;;;; 692.79;transfers
2018 July 16;Mus?e Du L?man;190.00;;;; 693.79;entertainment
2018 July 16;Lightgram.com;28.89;;USD 29.00;; 883.79;services
2018 July 16;Apple;178.50;;;; 912.68;shopping
2018 July 15;To Vacation savings;1.00;;;; 1'091.18;transfers
2018 July 15;To Vacation savings;1.00;;;; 1'092.18;transfers
2018 July 15;To Vacation savings;0.05;;;; 1'093.18;transfers
2018 July 14;To Vacation savings;1.00;;;; 1'093.23;transfers
2018 July 14;To Vacation savings;0.30;;;; 1'094.23;transfers
2018 July 14;To Vacation savings;0.60;;;; 1'094.53;transfers
2018 July 13;To Vacation savings;0.50;;;; 1'095.13;transfers
2018 July 13;To Matteo Vasirani;18.50;;;; 1'095.63;transfers
2018 July 13;Starbucks;8.50;;;; 1'114.13;restaurants
2018 July 13;Globus Gastro Gen?ve;23.50;;;; 1'122.63;groceries
2018 July 13;Coop Restaurant Genève Fusterie;5.15;;;; 1'146.13;groceries
2018 July 12;Sumup  *leonardo Compa;5.00;;;; 1'151.28;restaurants
2018 July 12;To Vacation savings;0.50;;;; 1'156.28;transfers
2018 July 12;To Vacation savings;0.50;;;; 1'156.78;transfers
2018 July 12;To Vacation savings;0.85;;;; 1'157.28;transfers
2018 July 12;ProtonMail;55.83;;EUR 48.00;; 1'158.13;shopping
2018 July 11;To Vacation savings;0.11;;;; 1'213.96;transfers
2018 July 11;To Vacation savings;0.17;;;; 1'214.07;transfers
2018 July 11;To Vacation savings;1.00;;;; 1'214.24;transfers
2018 July 11;Green Gorilla;19.90;;;; 1'215.24;restaurants
2018 July 11;Globus Gen?ve;123.20;;;; 1'235.14;shopping
2018 July 11;Restaurant Wasabi;13.60;;;; 1'358.34;restaurants
2018 July 10;To Vacation savings;0.80;;;; 1'371.94;transfers
2018 July 10;To Vacation savings;0.40;;;; 1'372.74;transfers
2018 July 10;To Vacation savings;0.10;;;; 1'373.14;transfers
2018 July 10;Migros Mmm Nyon La Com;60.60;;;; 1'373.24;groceries
2018 July 10;Globus Gastro Gen?ve;17.50;;;; 1'433.84;groceries
2018 July 10;Starbucks;5.20;;;; 1'451.34;restaurants
2018 July 10;Kkiosk Nyon;2.20;;;; 1'456.54;groceries
2018 July 9;To Vacation savings;0.80;;;; 1'458.74;transfers
2018 July 9;To Vacation savings;0.40;;;; 1'459.54;transfers
2018 July 9;To Vacation savings;0.50;;;; 1'459.94;transfers
2018 July 9;Eni Station Service;35.00;;;; 1'460.44;transport
2018 July 9;Mountain-air Software;58.50;;;; 1'495.44;shopping
2018 July 9;Restaurant Le Namast?;130.00;;;; 1'553.94;restaurants
2018 July 9;To Vacation savings;0.80;;;; 1'683.94;transfers
2018 July 9;Nu Skin België;192.01;;;; 1'684.74;health
2018 July 9;Restaurant Le Dahu;70.00;;;; 1'876.75;restaurants
2018 July 9;Easyjet;18.40;;;; 1'946.75;travel
2018 July 9;Green Gorilla;19.90;;;; 1'965.15;restaurants
2018 July 9;Migrolino Martigny;8.70;;;; 1'985.05;groceries
2018 July 9;Restaurant Wasabi;5.80;;;; 1'993.75;restaurants
2018 July 8;To Vacation savings;0.50;;;; 1'999.55;transfers
2018 July 8;To Vacation savings;1.00;;;; 2'000.05;transfers
2018 July 7;To Vacation savings;1.00;;;; 2'001.05;transfers
